======================================
       AVERAGE ION TRAJECTORY         
======================================
 
Compiled: 22:34:12  01/06/2015    
MPI Processes:    2
 
Date: 18:31 10/06/2015
    0.00000000E+00        0.36654976E+05
    0.24035860E+05        0.36612275E+05
    0.48071719E+05        0.36569912E+05
    0.72107579E+05        0.36527882E+05
    0.96143439E+05        0.36486184E+05
    0.12017930E+06        0.36444815E+05
    0.14421516E+06        0.36403770E+05
    0.16825102E+06        0.36363048E+05
    0.19228688E+06        0.36322645E+05
    0.21632274E+06        0.36282559E+05
    0.24035860E+06        0.36242785E+05
    0.26439446E+06        0.36203322E+05
    0.28843032E+06        0.36164166E+05
    0.31246618E+06        0.36125314E+05
    0.33650204E+06        0.36086764E+05
    0.36053789E+06        0.36048512E+05
    0.38457375E+06        0.36010556E+05
    0.40860961E+06        0.35972893E+05
    0.43264547E+06        0.35935519E+05
    0.45668133E+06        0.35898433E+05
    0.48071719E+06        0.35861631E+05
    0.50475305E+06        0.35825110E+05
    0.52878891E+06        0.35788868E+05
    0.55282477E+06        0.35752901E+05
    0.57686063E+06        0.35717208E+05
    0.60089649E+06        0.35681785E+05
    0.62493235E+06        0.35646629E+05
    0.64896821E+06        0.35611738E+05
    0.67300407E+06        0.35577109E+05
    0.69703993E+06        0.35542740E+05
    0.72107579E+06        0.35508627E+05
    0.74511165E+06        0.35474768E+05
    0.76914751E+06        0.35441161E+05
    0.79318337E+06        0.35407802E+05
    0.81721923E+06        0.35374690E+05
    0.84125509E+06        0.35341820E+05
    0.86529095E+06        0.35309192E+05
    0.88932681E+06        0.35276802E+05
    0.91336267E+06        0.35244648E+05
    0.93739853E+06        0.35212726E+05
    0.96143439E+06        0.35181036E+05
    0.98547025E+06        0.35149573E+05
    0.10095061E+07        0.35118336E+05
    0.10335420E+07        0.35087322E+05
    0.10575778E+07        0.35056529E+05
    0.10816137E+07        0.35025953E+05
    0.11056495E+07        0.34995593E+05
    0.11296854E+07        0.34965447E+05
    0.11537213E+07        0.34935511E+05
    0.11777571E+07        0.34905783E+05
    0.12017930E+07        0.34876261E+05
    0.12258288E+07        0.34846943E+05
    0.12498647E+07        0.34817826E+05
    0.12739006E+07        0.34788907E+05
    0.12979364E+07        0.34760185E+05
    0.13219723E+07        0.34731658E+05
    0.13460081E+07        0.34703321E+05
    0.13700440E+07        0.34675175E+05
    0.13940799E+07        0.34647215E+05
    0.14181157E+07        0.34619440E+05
    0.14421516E+07        0.34591848E+05
    0.14661874E+07        0.34564436E+05
    0.14902233E+07        0.34537202E+05
    0.15142592E+07        0.34510144E+05
    0.15382950E+07        0.34483260E+05
    0.15623309E+07        0.34456547E+05
    0.15863667E+07        0.34430003E+05
    0.16104026E+07        0.34403627E+05
    0.16344385E+07        0.34377415E+05
    0.16584743E+07        0.34351366E+05
