======================================
       AVERAGE ION TRAJECTORY         
======================================
 
Compiled: 15:08:41  11/01/2016    
MPI Processes:    1
 
Date: 21:35 24/06/2016
    0.00000000E+00        0.13187871E+05
    0.38004496E+04        0.13173592E+05
    0.76008991E+04        0.13159411E+05
    0.11401349E+05        0.13145328E+05
    0.15201798E+05        0.13131342E+05
    0.19002248E+05        0.13117452E+05
    0.22802697E+05        0.13103657E+05
    0.26603147E+05        0.13089957E+05
    0.30403596E+05        0.13076350E+05
    0.34204046E+05        0.13062835E+05
    0.38004496E+05        0.13049412E+05
    0.41804945E+05        0.13036079E+05
    0.45605395E+05        0.13022837E+05
    0.49405844E+05        0.13009684E+05
    0.53206294E+05        0.12996618E+05
    0.57006743E+05        0.12983640E+05
    0.60807193E+05        0.12970748E+05
    0.64607643E+05        0.12957942E+05
    0.68408092E+05        0.12945221E+05
    0.72208542E+05        0.12932583E+05
    0.76008991E+05        0.12920029E+05
    0.79809441E+05        0.12907557E+05
    0.83609890E+05        0.12895166E+05
    0.87410340E+05        0.12882856E+05
    0.91210789E+05        0.12870625E+05
    0.95011239E+05        0.12858473E+05
    0.98811689E+05        0.12846400E+05
    0.10261214E+06        0.12834404E+05
    0.10641259E+06        0.12822484E+05
    0.11021304E+06        0.12810640E+05
    0.11401349E+06        0.12798871E+05
    0.11781394E+06        0.12787176E+05
    0.12161439E+06        0.12775554E+05
    0.12541484E+06        0.12764005E+05
    0.12921529E+06        0.12752528E+05
    0.13301573E+06        0.12741122E+05
    0.13681618E+06        0.12729786E+05
    0.14061663E+06        0.12718519E+05
    0.14441708E+06        0.12707322E+05
    0.14821753E+06        0.12696192E+05
    0.15201798E+06        0.12685129E+05
    0.15581843E+06        0.12674133E+05
    0.15961888E+06        0.12663203E+05
    0.16341933E+06        0.12652337E+05
    0.16721978E+06        0.12641536E+05
    0.17102023E+06        0.12630798E+05
    0.17482068E+06        0.12620123E+05
    0.17862113E+06        0.12609511E+05
    0.18242158E+06        0.12598959E+05
    0.18622203E+06        0.12588468E+05
    0.19002248E+06        0.12578038E+05
    0.19382293E+06        0.12567666E+05
    0.19762338E+06        0.12557353E+05
    0.20142383E+06        0.12547098E+05
    0.20522428E+06        0.12536899E+05
    0.20902473E+06        0.12526758E+05
    0.21282518E+06        0.12516672E+05
    0.21662562E+06        0.12506641E+05
    0.22042607E+06        0.12496664E+05
    0.22422652E+06        0.12486741E+05
    0.22802697E+06        0.12476872E+05
    0.23182742E+06        0.12467054E+05
    0.23562787E+06        0.12457289E+05
    0.23942832E+06        0.12447574E+05
    0.24322877E+06        0.12437910E+05
    0.24702922E+06        0.12428296E+05
    0.25082967E+06        0.12418730E+05
    0.25463012E+06        0.12409213E+05
    0.25843057E+06        0.12399744E+05
    0.26223102E+06        0.12390323E+05
    0.26603147E+06        0.12380947E+05
    0.26983192E+06        0.12371618E+05
    0.27363237E+06        0.12362334E+05
    0.27743282E+06        0.12353095E+05
    0.28123327E+06        0.12343899E+05
    0.28503372E+06        0.12334748E+05
    0.28883417E+06        0.12325639E+05
    0.29263462E+06        0.12316572E+05
    0.29643507E+06        0.12307547E+05
    0.30023552E+06        0.12298563E+05
    0.30403596E+06        0.12289620E+05
    0.30783641E+06        0.12280716E+05
    0.31163686E+06        0.12271852E+05
    0.31543731E+06        0.12263026E+05
    0.31923776E+06        0.12254238E+05
    0.32303821E+06        0.12245488E+05
    0.32683866E+06        0.12236775E+05
    0.33063911E+06        0.12228099E+05
    0.33443956E+06        0.12219458E+05
    0.33824001E+06        0.12210853E+05
    0.34204046E+06        0.12202282E+05
    0.34584091E+06        0.12193745E+05
    0.34964136E+06        0.12185242E+05
    0.35344181E+06        0.12176773E+05
    0.35724226E+06        0.12168335E+05
    0.36104271E+06        0.12159930E+05
    0.36484316E+06        0.12151556E+05
    0.36864361E+06        0.12143213E+05
    0.37244406E+06        0.12134901E+05
    0.37624451E+06        0.12126618E+05
    0.38004496E+06        0.12118365E+05
    0.38384541E+06        0.12110141E+05
    0.38764586E+06        0.12101945E+05
    0.39144630E+06        0.12093777E+05
    0.39524675E+06        0.12085636E+05
    0.39904720E+06        0.12077522E+05
    0.40284765E+06        0.12069434E+05
    0.40664810E+06        0.12061372E+05
    0.41044855E+06        0.12053336E+05
    0.41424900E+06        0.12045324E+05
    0.41804945E+06        0.12037337E+05
    0.42184990E+06        0.12029373E+05
    0.42565035E+06        0.12021433E+05
    0.42945080E+06        0.12013516E+05
    0.43325125E+06        0.12005621E+05
    0.43705170E+06        0.11997749E+05
    0.44085215E+06        0.11989898E+05
    0.44465260E+06        0.11982067E+05
    0.44845305E+06        0.11974258E+05
    0.45225350E+06        0.11966469E+05
    0.45605395E+06        0.11958699E+05
    0.45985440E+06        0.11950948E+05
    0.46365485E+06        0.11943217E+05
    0.46745530E+06        0.11935504E+05
    0.47125575E+06        0.11927808E+05
    0.47505620E+06        0.11920130E+05
    0.47885664E+06        0.11912470E+05
    0.48265709E+06        0.11904825E+05
    0.48645754E+06        0.11897197E+05
    0.49025799E+06        0.11889585E+05
    0.49405844E+06        0.11881988E+05
    0.49785889E+06        0.11874406E+05
    0.50165934E+06        0.11866839E+05
    0.50545979E+06        0.11859286E+05
    0.50926024E+06        0.11851746E+05
    0.51306069E+06        0.11844220E+05
    0.51686114E+06        0.11836707E+05
    0.52066159E+06        0.11829206E+05
    0.52446204E+06        0.11821718E+05
    0.52826249E+06        0.11814241E+05
    0.53206294E+06        0.11806775E+05
    0.53586339E+06        0.11799321E+05
    0.53966384E+06        0.11791877E+05
    0.54346429E+06        0.11784443E+05
    0.54726474E+06        0.11777019E+05
    0.55106519E+06        0.11769604E+05
    0.55486564E+06        0.11762199E+05
    0.55866609E+06        0.11754802E+05
    0.56246653E+06        0.11747414E+05
    0.56626698E+06        0.11740034E+05
    0.57006743E+06        0.11732661E+05
    0.57386788E+06        0.11725296E+05
    0.57766833E+06        0.11717938E+05
    0.58146878E+06        0.11710586E+05
    0.58526923E+06        0.11703240E+05
    0.58906968E+06        0.11695901E+05
    0.59287013E+06        0.11688567E+05
    0.59667058E+06        0.11681238E+05
    0.60047103E+06        0.11673914E+05
    0.60427148E+06        0.11666595E+05
    0.60807193E+06        0.11659280E+05
    0.61187238E+06        0.11651969E+05
    0.61567283E+06        0.11644662E+05
    0.61947328E+06        0.11637358E+05
    0.62327373E+06        0.11630057E+05
    0.62707418E+06        0.11622758E+05
    0.63087463E+06        0.11615462E+05
    0.63467508E+06        0.11608168E+05
    0.63847553E+06        0.11600876E+05
    0.64227598E+06        0.11593585E+05
    0.64607643E+06        0.11586296E+05
    0.64987687E+06        0.11579007E+05
    0.65367732E+06        0.11571719E+05
    0.65747777E+06        0.11564431E+05
    0.66127822E+06        0.11557143E+05
    0.66507867E+06        0.11549855E+05
    0.66887912E+06        0.11542566E+05
    0.67267957E+06        0.11535277E+05
    0.67648002E+06        0.11527986E+05
    0.68028047E+06        0.11520694E+05
    0.68408092E+06        0.11513400E+05
    0.68788137E+06        0.11506105E+05
    0.69168182E+06        0.11498807E+05
    0.69548227E+06        0.11491506E+05
    0.69928272E+06        0.11484203E+05
    0.70308317E+06        0.11476898E+05
    0.70688362E+06        0.11469588E+05
    0.71068407E+06        0.11462276E+05
    0.71448452E+06        0.11454959E+05
    0.71828497E+06        0.11447639E+05
    0.72208542E+06        0.11440315E+05
    0.72588587E+06        0.11432986E+05
    0.72968632E+06        0.11425652E+05
    0.73348677E+06        0.11418313E+05
    0.73728721E+06        0.11410970E+05
    0.74108766E+06        0.11403621E+05
    0.74488811E+06        0.11396266E+05
    0.74868856E+06        0.11388906E+05
    0.75248901E+06        0.11381539E+05
    0.75628946E+06        0.11374166E+05
    0.76008991E+06        0.11366787E+05
    0.76389036E+06        0.11359401E+05
    0.76769081E+06        0.11352008E+05
    0.77149126E+06        0.11344608E+05
    0.77529171E+06        0.11337200E+05
    0.77909216E+06        0.11329786E+05
    0.78289261E+06        0.11322363E+05
    0.78669306E+06        0.11314932E+05
    0.79049351E+06        0.11307494E+05
    0.79429396E+06        0.11300047E+05
    0.79809441E+06        0.11292591E+05
    0.80189486E+06        0.11285127E+05
    0.80569531E+06        0.11277654E+05
    0.80949576E+06        0.11270171E+05
    0.81329621E+06        0.11262680E+05
    0.81709666E+06        0.11255179E+05
    0.82089711E+06        0.11247668E+05
    0.82469755E+06        0.11240148E+05
    0.82849800E+06        0.11232617E+05
    0.83229845E+06        0.11225077E+05
    0.83609890E+06        0.11217526E+05
    0.83989935E+06        0.11209965E+05
    0.84369980E+06        0.11202393E+05
    0.84750025E+06        0.11194810E+05
    0.85130070E+06        0.11187217E+05
    0.85510115E+06        0.11179612E+05
    0.85890160E+06        0.11171996E+05
    0.86270205E+06        0.11164368E+05
    0.86650250E+06        0.11156729E+05
    0.87030295E+06        0.11149078E+05
    0.87410340E+06        0.11141415E+05
    0.87790385E+06        0.11133741E+05
    0.88170430E+06        0.11126054E+05
    0.88550475E+06        0.11118355E+05
    0.88930520E+06        0.11110643E+05
    0.89310565E+06        0.11102919E+05
    0.89690610E+06        0.11095182E+05
    0.90070655E+06        0.11087432E+05
    0.90450700E+06        0.11079670E+05
    0.90830744E+06        0.11071894E+05
    0.91210789E+06        0.11064105E+05
    0.91590834E+06        0.11056303E+05
    0.91970879E+06        0.11048487E+05
    0.92350924E+06        0.11040658E+05
    0.92730969E+06        0.11032815E+05
    0.93111014E+06        0.11024958E+05
    0.93491059E+06        0.11017087E+05
    0.93871104E+06        0.11009203E+05
    0.94251149E+06        0.11001304E+05
    0.94631194E+06        0.10993391E+05
    0.95011239E+06        0.10985463E+05
    0.95391284E+06        0.10977521E+05
    0.95771329E+06        0.10969565E+05
    0.96151374E+06        0.10961594E+05
    0.96531419E+06        0.10953608E+05
    0.96911464E+06        0.10945608E+05
    0.97291509E+06        0.10937592E+05
    0.97671554E+06        0.10929561E+05
    0.98051599E+06        0.10921516E+05
    0.98431644E+06        0.10913455E+05
    0.98811689E+06        0.10905379E+05
    0.99191734E+06        0.10897288E+05
    0.99571778E+06        0.10889181E+05
    0.99951823E+06        0.10881058E+05
    0.10033187E+07        0.10872920E+05
    0.10071191E+07        0.10864767E+05
