======================================
        ISOTOPE ACTIVITY FILE         
======================================
 
Compiled: 15:08:41  11/01/2016    
MPI Processes:    1
 
Date: 15:39 14/01/2016
 Time/s           1H3            23V47           23V49           23V50           23V52           23V53           24CR49          24CR51          24CR55          24CR56          25MN50          25MN51          25MN52          25MN53          25MN54          25MN56          25MN57          26FE52          26FE53          26FE55          27CO53          27CO54          27CO55          27CO56          27CO57          27CO58
   0.300000E+03    0.161639E+02    0.348246E+05    0.116022E+03    0.172912E-16    0.184170E+01    0.164036E-06    0.190089E+06    0.167296E+05    0.453993E+04    0.147699E-04    0.154245E+07    0.128526E+06    0.109886E+06    0.627803E-03    0.980422E+04    0.131458E+06    0.338315E+06    0.795747E+05    0.633209E+08    0.121509E+05    0.425164E+06    0.802646E+07    0.102973E+07    0.969150E+04    0.108909E+03    0.251747E+02
   0.100000E+04    0.161639E+02    0.271742E+05    0.118962E+03    0.172912E-16    0.212290E+00    0.104696E-08    0.157012E+06    0.167467E+05    0.449526E+03    0.378556E-05   0.000000E+00     0.107888E+06    0.109745E+06    0.795991E-03    0.980404E+04    0.118070E+06    0.115309E+04    0.782891E+05   0.000000E+00     0.121565E+05   0.000000E+00    0.000000E+00     0.102185E+07    0.969079E+04    0.108907E+03    0.251727E+02
   0.200000E+04    0.161638E+02    0.190658E+05    0.122297E+03    0.172912E-16    0.969432E-02    0.765949E-12    0.119487E+06    0.167646E+05    0.165215E+02    0.541363E-06   0.000000E+00     0.840188E+05    0.109541E+06    0.874672E-03    0.980379E+04    0.100119E+06    0.344288E+00    0.764885E+05   0.000000E+00     0.121645E+05   0.000000E+00    0.000000E+00     0.101068E+07    0.968979E+04    0.108903E+03    0.251698E+02
   0.300000E+04    0.161638E+02    0.133769E+05    0.124833E+03    0.172912E-16    0.442694E-03    0.560364E-15    0.909313E+05    0.167765E+05    0.607216E+00    0.774191E-07   0.000000E+00     0.654305E+05    0.109334E+06    0.894916E-03    0.980354E+04    0.834590E+05    0.102797E-03    0.747294E+05   0.000000E+00     0.121723E+05   0.000000E+00    0.000000E+00     0.999643E+06    0.968878E+04    0.108900E+03    0.251670E+02
   0.400000E+04    0.161638E+02    0.938542E+04    0.126761E+03    0.172912E-16    0.202158E-04    0.409955E-18    0.691997E+05    0.167835E+05    0.223171E-01    0.110715E-07   0.000000E+00     0.509546E+05    0.109126E+06    0.900125E-03    0.980329E+04    0.679976E+05    0.307200E-07    0.730106E+05   0.000000E+00     0.121801E+05   0.000000E+00    0.000000E+00     0.988724E+06    0.968777E+04    0.108897E+03    0.251641E+02
   0.500000E+04    0.161638E+02    0.658495E+04    0.128228E+03    0.172912E-16    0.923161E-06    0.293559E-21    0.526617E+05    0.167869E+05    0.820222E-03    0.158331E-08   0.000000E+00     0.396814E+05    0.108915E+06    0.901465E-03    0.980304E+04    0.536486E+05   0.000000E+00     0.713315E+05   0.000000E+00     0.121878E+05   0.000000E+00    0.000000E+00     0.977923E+06    0.968677E+04    0.108894E+03    0.251613E+02
   0.600000E+04    0.161637E+02    0.462011E+04    0.129342E+03    0.172912E-16    0.421565E-07   0.000000E+00     0.400761E+05    0.167873E+05    0.301457E-04    0.226426E-09   0.000000E+00     0.309022E+05    0.108703E+06    0.901810E-03    0.980278E+04    0.403318E+05   0.000000E+00     0.696909E+05   0.000000E+00     0.121955E+05   0.000000E+00    0.000000E+00     0.967241E+06    0.968576E+04    0.108891E+03    0.251584E+02
   0.700000E+04    0.161637E+02    0.324154E+04    0.130189E+03    0.172912E-16    0.192509E-08   0.000000E+00     0.304984E+05    0.167856E+05    0.110795E-05    0.323806E-10   0.000000E+00     0.240654E+05    0.108488E+06    0.901899E-03    0.980253E+04    0.279731E+05   0.000000E+00     0.680881E+05   0.000000E+00     0.122030E+05   0.000000E+00    0.000000E+00     0.956676E+06    0.968475E+04    0.108887E+03    0.251556E+02
   0.800000E+04    0.161637E+02    0.227431E+04    0.130831E+03    0.172912E-16    0.879100E-10   0.000000E+00     0.232096E+05    0.167820E+05    0.407203E-07    0.463067E-11   0.000000E+00     0.187412E+05    0.108272E+06    0.901922E-03    0.980228E+04    0.165035E+05   0.000000E+00     0.665221E+05   0.000000E+00     0.122104E+05   0.000000E+00    0.000000E+00     0.946225E+06    0.968375E+04    0.108884E+03    0.251527E+02
   0.900000E+04    0.161636E+02    0.159569E+04    0.131319E+03    0.172912E-16    0.401447E-11   0.000000E+00     0.176628E+05    0.167771E+05    0.149679E-08    0.662221E-12   0.000000E+00     0.145949E+05    0.108053E+06    0.901927E-03    0.980203E+04    0.585896E+04   0.000000E+00     0.649921E+05   0.000000E+00     0.122178E+05   0.000000E+00    0.000000E+00     0.935889E+06    0.968274E+04    0.108881E+03    0.251499E+02
   0.100000E+05    0.161636E+02    0.111956E+04    0.131689E+03    0.172912E-16    0.183162E-12   0.000000E+00     0.134415E+05    0.167712E+05    0.553798E-10    0.947026E-13   0.000000E+00     0.113659E+05    0.107833E+06    0.901929E-03    0.980178E+04   0.000000E+00    0.000000E+00     0.634974E+05   0.000000E+00     0.122251E+05   0.000000E+00    0.000000E+00     0.925666E+06    0.968174E+04    0.108878E+03    0.251470E+02
   0.110000E+05    0.161636E+02    0.785503E+03    0.131969E+03    0.172912E-16    0.842124E-14   0.000000E+00     0.102292E+05    0.167644E+05    0.230749E-11    0.135432E-13   0.000000E+00     0.885129E+04    0.107610E+06    0.901929E-03    0.980152E+04   0.000000E+00    0.000000E+00     0.620370E+05   0.000000E+00     0.122323E+05   0.000000E+00    0.000000E+00     0.915555E+06    0.968073E+04    0.108874E+03    0.251442E+02
   0.120000E+05    0.161636E+02    0.551121E+03    0.132180E+03    0.172912E-16    0.350885E-15   0.000000E+00     0.778451E+04    0.167569E+05   0.000000E+00     0.193678E-14   0.000000E+00     0.689302E+04    0.107387E+06    0.901929E-03    0.980127E+04   0.000000E+00    0.000000E+00     0.606102E+05   0.000000E+00     0.122394E+05   0.000000E+00    0.000000E+00     0.905554E+06    0.967973E+04    0.108871E+03    0.251413E+02
   0.130000E+05    0.161635E+02    0.386675E+03    0.132340E+03    0.172912E-16   0.000000E+00    0.000000E+00     0.592409E+04    0.167490E+05   0.000000E+00     0.276975E-15   0.000000E+00     0.536801E+04    0.107161E+06    0.901929E-03    0.980102E+04   0.000000E+00    0.000000E+00     0.592162E+05   0.000000E+00     0.122464E+05   0.000000E+00    0.000000E+00     0.895662E+06    0.967872E+04    0.108868E+03    0.251385E+02
   0.140000E+05    0.161635E+02    0.271297E+03    0.132460E+03    0.172912E-16   0.000000E+00    0.000000E+00     0.450830E+04    0.167407E+05   0.000000E+00     0.396100E-16   0.000000E+00     0.418039E+04    0.106934E+06    0.901929E-03    0.980077E+04   0.000000E+00    0.000000E+00     0.578543E+05   0.000000E+00     0.122534E+05   0.000000E+00    0.000000E+00     0.885878E+06    0.967772E+04    0.108865E+03    0.251356E+02
   0.150000E+05    0.161635E+02    0.190346E+03    0.132550E+03    0.172912E-16   0.000000E+00    0.000000E+00     0.343086E+04    0.167321E+05   0.000000E+00     0.566459E-17   0.000000E+00     0.325552E+04    0.106705E+06    0.901929E-03    0.980052E+04   0.000000E+00    0.000000E+00     0.565237E+05   0.000000E+00     0.122603E+05   0.000000E+00    0.000000E+00     0.876202E+06    0.967671E+04    0.108862E+03    0.251328E+02
   0.160000E+05    0.161634E+02    0.133550E+03    0.132617E+03    0.172912E-16   0.000000E+00    0.000000E+00     0.261093E+04    0.167232E+05   0.000000E+00     0.809710E-18   0.000000E+00     0.253526E+04    0.106474E+06    0.901929E-03    0.980027E+04   0.000000E+00    0.000000E+00     0.552237E+05   0.000000E+00     0.122671E+05   0.000000E+00    0.000000E+00     0.866631E+06    0.967570E+04    0.108858E+03    0.251299E+02
   0.170000E+05    0.161634E+02    0.937007E+02    0.132666E+03    0.172912E-16   0.000000E+00    0.000000E+00     0.198694E+04    0.167142E+05   0.000000E+00     0.116396E-18   0.000000E+00     0.197436E+04    0.106242E+06    0.901929E-03    0.980001E+04   0.000000E+00    0.000000E+00     0.539536E+05   0.000000E+00     0.122738E+05   0.000000E+00    0.000000E+00     0.857164E+06    0.967470E+04    0.108855E+03    0.251271E+02
   0.180000E+05    0.161634E+02    0.657419E+02    0.132703E+03    0.172912E-16   0.000000E+00    0.000000E+00     0.151209E+04    0.167050E+05   0.000000E+00     0.168689E-19   0.000000E+00     0.153755E+04    0.106009E+06    0.901929E-03    0.979976E+04   0.000000E+00    0.000000E+00     0.527127E+05   0.000000E+00     0.122804E+05   0.000000E+00    0.000000E+00     0.847801E+06    0.967370E+04    0.108852E+03    0.251243E+02
   0.190000E+05    0.161634E+02    0.461255E+02    0.132729E+03    0.172912E-16   0.000000E+00    0.000000E+00     0.115071E+04    0.166957E+05   0.000000E+00     0.168689E-20   0.000000E+00     0.119738E+04    0.105774E+06    0.901929E-03    0.979951E+04   0.000000E+00    0.000000E+00     0.515003E+05   0.000000E+00     0.122870E+05   0.000000E+00    0.000000E+00     0.838540E+06    0.967269E+04    0.108849E+03    0.251214E+02
   0.200000E+05    0.161633E+02    0.323624E+02    0.132747E+03    0.172912E-16   0.000000E+00    0.000000E+00     0.875705E+03    0.166863E+05   0.000000E+00    0.000000E+00    0.000000E+00     0.932473E+03    0.105538E+06    0.901929E-03    0.979926E+04   0.000000E+00    0.000000E+00     0.503159E+05   0.000000E+00     0.122935E+05   0.000000E+00    0.000000E+00     0.829380E+06    0.967169E+04    0.108846E+03    0.251186E+02
   0.210000E+05    0.161633E+02    0.227059E+02    0.132760E+03    0.172912E-16   0.000000E+00    0.000000E+00     0.666421E+03    0.166769E+05   0.000000E+00    0.000000E+00    0.000000E+00     0.726172E+03    0.105300E+06    0.901929E-03    0.979901E+04   0.000000E+00    0.000000E+00     0.491587E+05   0.000000E+00     0.122999E+05   0.000000E+00    0.000000E+00     0.820321E+06    0.967068E+04    0.108842E+03    0.251157E+02
   0.220000E+05    0.161633E+02    0.159308E+02    0.132768E+03    0.172912E-16   0.000000E+00    0.000000E+00     0.507154E+03    0.166674E+05   0.000000E+00    0.000000E+00    0.000000E+00     0.565514E+03    0.105061E+06    0.901929E-03    0.979875E+04   0.000000E+00    0.000000E+00     0.480280E+05   0.000000E+00     0.123063E+05   0.000000E+00    0.000000E+00     0.811360E+06    0.966968E+04    0.108839E+03    0.251129E+02
   0.230000E+05    0.161632E+02    0.111773E+02    0.132773E+03    0.172912E-16   0.000000E+00    0.000000E+00     0.385950E+03    0.166579E+05   0.000000E+00    0.000000E+00    0.000000E+00     0.440399E+03    0.104821E+06    0.901929E-03    0.979850E+04   0.000000E+00    0.000000E+00     0.469234E+05   0.000000E+00     0.123126E+05   0.000000E+00    0.000000E+00     0.802497E+06    0.966867E+04    0.108836E+03    0.251100E+02
   0.240000E+05    0.161632E+02    0.784219E+01    0.132775E+03    0.172912E-16   0.000000E+00    0.000000E+00     0.293712E+03    0.166483E+05   0.000000E+00    0.000000E+00    0.000000E+00     0.342965E+03    0.104580E+06    0.901929E-03    0.979825E+04   0.000000E+00    0.000000E+00     0.458442E+05   0.000000E+00     0.123188E+05   0.000000E+00    0.000000E+00     0.793731E+06    0.966767E+04    0.108833E+03    0.251072E+02
   0.250000E+05    0.161632E+02    0.550220E+01    0.132775E+03    0.172912E-16   0.000000E+00    0.000000E+00     0.223518E+03    0.166388E+05   0.000000E+00    0.000000E+00    0.000000E+00     0.267087E+03    0.104337E+06    0.901929E-03    0.979800E+04   0.000000E+00    0.000000E+00     0.447899E+05   0.000000E+00     0.123249E+05   0.000000E+00    0.000000E+00     0.785061E+06    0.966666E+04    0.108829E+03    0.251044E+02
   0.260000E+05    0.161632E+02    0.386043E+01    0.132774E+03    0.172912E-16   0.000000E+00    0.000000E+00     0.170100E+03    0.166292E+05   0.000000E+00    0.000000E+00    0.000000E+00     0.207997E+03    0.104094E+06    0.901929E-03    0.979775E+04   0.000000E+00    0.000000E+00     0.437597E+05   0.000000E+00     0.123310E+05   0.000000E+00    0.000000E+00     0.776485E+06    0.966566E+04    0.108826E+03    0.251015E+02
   0.270000E+05    0.161631E+02    0.270854E+01    0.132771E+03    0.172912E-16   0.000000E+00    0.000000E+00     0.129448E+03    0.166196E+05   0.000000E+00    0.000000E+00    0.000000E+00     0.161979E+03    0.103849E+06    0.901929E-03    0.979749E+04   0.000000E+00    0.000000E+00     0.427533E+05   0.000000E+00     0.123370E+05   0.000000E+00    0.000000E+00     0.768003E+06    0.966466E+04    0.108823E+03    0.250987E+02
   0.280000E+05    0.161631E+02    0.190035E+01    0.132768E+03    0.172912E-16   0.000000E+00    0.000000E+00     0.985110E+02    0.166099E+05   0.000000E+00    0.000000E+00    0.000000E+00     0.126143E+03    0.103603E+06    0.901929E-03    0.979724E+04   0.000000E+00    0.000000E+00     0.417700E+05   0.000000E+00     0.123429E+05   0.000000E+00    0.000000E+00     0.759614E+06    0.966365E+04    0.108820E+03    0.250958E+02
   0.290000E+05    0.161631E+02    0.133332E+01    0.132764E+03    0.172912E-16   0.000000E+00    0.000000E+00     0.749680E+02    0.166003E+05   0.000000E+00    0.000000E+00    0.000000E+00     0.982350E+02    0.103356E+06    0.901929E-03    0.979699E+04   0.000000E+00    0.000000E+00     0.408093E+05   0.000000E+00     0.123488E+05   0.000000E+00    0.000000E+00     0.751317E+06    0.966265E+04    0.108817E+03    0.250930E+02
